City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,port macquarie,-31.4333,152.9167,21.15,81,47,0.89,AU,1731451631
83,wongsorejo,-7.9908,114.4009,26.3,83,67,2.2,ID,1731451632
84,villa gesell,-37.2639,-56.973,16.17,65,95,7.67,AR,1731451633
85,avarua,-21.2078,-159.775,25.03,61,75,8.23,CK,1731451634
86,kristiansund,63.1115,7.732,13.36,62,100,4.63,NO,1731451635
87,pahrump,36.2083,-115.9839,17.36,19,2,2.68,US,1731451637
88,alghero,40.5589,8.3181,15.05,77,0,3.6,IT,1731451638
89,zaozersk,69.4005,32.4476,0.95,86,100,6.2,RU,1731451639
90,tralee,52.2704,-9.7026,6.45,82,93,1.55,IE,1731451640
91,greymouth,-42.4667,171.2,16.04,48,2,3.09,NZ,1731451641
92,darab,28.7519,54.5444,17.81,39,24,0.72,IR,1731451642
93,valparaiso,-33.0393,-71.6273,25.13,38,0,12.35,CL,1731451633
94,tam ky,15.5667,108.4833,23.39,94,100,1.16,VN,1731451644
95,lebu,-37.6167,-73.65,12.78,80,42,9.84,CL,1731451645
96,invercargill,-46.4,168.35,17.23,60,4,0.89,NZ,1731451646
97,ponnani,10.767,75.9252,24.77,88,100,2.19,IN,1731451647
98,sidney,-33.8679,151.2073,20.75,80,84,3.13,AU,1731451530
99,laascaanood,8.4774,47.3597,23.97,64,47,5.47,SO,1731451649
100,udachny,66.4167,112.4,-21.87,100,100,1.61,RU,1731451650
101,lompoc,34.6391,-120.4579,19.94,39,0,9.77,US,1731451651
102,dzhangala,49.2167,50.3333,-2.58,64,5,2.72,KZ,1731451652
103,rozhyshche,50.9154,25.2691,0.8,86,100,2.05,UA,1731451654
104,nevel'sk,46.6733,141.8633,0.56,52,100,5.59,RU,1731451655
105,susuman,62.7833,148.1667,-25.62,99,99,1.08,RU,1731451656
106,hawaiian paradise park,19.5933,-154.9731,27.73,76,20,4.63,US,1731451657
107,siler city,35.7235,-79.4622,15.89,50,0,0.0,US,1731451658
108,badger,64.8,-147.5333,-14.45,82,75,0.0,US,1731451659
109,egilsstadir,65.2653,-14.3948,7.95,49,75,15.95,IS,1731451660
110,colonia,50.9333,6.95,8.87,82,100,3.6,DE,1731451478
111,funafuti,-8.5243,179.1942,32.0,74,40,3.09,TV,1731451662
112,nguigmi,14.2495,13.1092,25.65,23,0,5.34,NE,1731451663
113,toliara,-23.35,43.6667,23.96,67,37,3.71,MG,1731451664
114,hami,42.8,93.45,7.25,56,48,2.41,CN,1731451665
115,carnarvon,-24.8667,113.6333,22.79,69,77,6.48,AU,1731451667
116,ust'-uda,54.1742,103.0304,-10.68,85,46,1.33,RU,1731451668
117,petropavlovsk-kamchatsky,53.0452,158.6483,-7.67,58,0,4.0,RU,1731451669
118,ribeira grande,38.5167,-28.7,17.1,94,100,5.36,PT,1731451670
119,adam,22.3756,57.5233,22.04,53,3,1.57,OM,1731451671
120,port-gentil,-0.7193,8.7815,25.98,94,100,4.63,GA,1731451672
121,keflavik,64.0049,-22.5624,7.24,70,40,14.4,IS,1731451673
122,formosa do rio preto,-11.0483,-45.1931,21.22,91,98,1.33,BR,1731451674
123,blackmans bay,-43.0167,147.3167,17.07,79,97,2.82,AU,1731451675
124,karasu,41.071,30.7854,12.72,88,100,1.74,TR,1731451676
125,oranjemund,-28.55,16.4333,14.32,83,0,6.46,NA,1731451677
126,murzuq,25.9155,13.9184,18.54,23,99,2.85,LY,1731451678
127,vico del gargano,41.8983,15.9576,10.99,59,83,0.48,IT,1731451679
128,fada,7.25,4.0667,23.35,94,11,0.92,NG,1731451681
129,happy valley-goose bay,53.3168,-60.3315,-2.83,80,100,4.12,CA,1731451606
130,bilibino,68.0546,166.4372,-25.76,99,24,1.52,RU,1731451683
131,whitehorse,60.7161,-135.0538,-2.72,92,100,1.54,CA,1731451562
132,kyadabek,40.5656,45.8161,3.56,77,94,0.64,AZ,1731451685
133,seymour,38.9592,-85.8903,9.56,65,3,3.28,US,1731451664
134,luena,-11.7833,19.9167,16.15,98,25,1.1,AO,1731451688
135,saint-joseph,-21.3667,55.6167,21.21,79,18,3.94,RE,1731451689
136,st. john's,47.5649,-52.7093,13.64,99,100,6.69,CA,1731451690
137,atafu village,-8.5421,-172.5159,28.55,65,5,7.05,TK,1731451691
138,guelmim,28.987,-10.0574,16.19,82,0,3.6,MA,1731451692
139,hithadhoo,-0.6,73.0833,28.47,74,83,8.06,MV,1731451693
140,puerto ayora,-0.7393,-90.3518,22.53,85,100,3.13,EC,1731451694
141,usakos,-22.0,15.6,21.1,30,0,1.98,NA,1731451695
142,iqaluit,63.7506,-68.5145,-13.15,71,20,2.06,CA,1731451696
143,at taj,24.2049,23.2857,16.45,32,0,4.85,LY,1731451697
144,mandimba,-14.3548,35.6515,24.95,56,55,1.95,MZ,1731451698
145,kardla,58.9978,22.7492,6.91,74,100,2.51,EE,1731451701
146,usinsk,65.9939,57.5281,-14.27,82,96,2.99,RU,1731451702
147,namibe,-15.1961,12.1522,23.33,65,54,4.0,AO,1731451703
148,akureyri,65.6835,-18.0878,8.96,53,75,13.38,IS,1731451705
149,myeik,12.4333,98.6,25.08,86,70,2.06,MM,1731451706
150,weno,7.4515,151.8468,28.66,77,86,5.45,FM,1731451707
151,lazaro cardenas,17.9583,-102.2,28.3,72,58,3.63,MX,1731451708
152,baracoa,20.3467,-74.4958,26.03,88,100,3.0,CU,1731451710
153,kailua-kona,19.6406,-155.9956,28.64,68,40,3.09,US,1731451711
154,kill devil hills,36.0307,-75.676,15.55,60,0,9.26,US,1731451712
155,khoyniki,51.8911,29.9552,-1.5,93,30,1.92,BY,1731451713
156,urengoy,65.9667,78.3667,-24.28,98,91,4.11,RU,1731451715
157,asadabad,34.7824,48.1185,9.89,48,2,1.58,IR,1731451716
158,springfield,37.2153,-93.2982,17.92,48,0,6.17,US,1731451659
159,pisco,-13.7,-76.2167,21.03,73,0,7.72,PE,1731451718
160,kayes,14.0,-11.0,26.6,28,80,0.55,ML,1731451719
161,ostersund,63.1792,14.6357,5.34,95,100,3.6,SE,1731451450
162,azle,32.8951,-97.5459,23.85,50,40,5.66,US,1731451500
163,malumfashi,11.7853,7.6218,22.8,30,12,3.69,NG,1731451723
164,port blair,11.6667,92.75,25.02,100,75,1.03,IN,1731451472
165,pemangkat,1.1667,108.9667,26.1,84,100,1.63,ID,1731451725
166,kharp,66.8014,65.8081,-21.44,92,27,3.66,RU,1731451727
167,sevierville,35.8681,-83.5618,16.3,58,7,2.77,US,1731451714
168,wailua homesteads,22.0669,-159.378,27.44,72,40,6.69,US,1731451729
169,saint-philippe,-21.3585,55.7679,22.8,82,27,4.42,RE,1731451730
170,itoman,26.1247,127.6694,25.05,86,75,4.63,JP,1731451731
171,qaqortoq,60.7167,-46.0333,-1.89,76,100,4.69,GL,1731451732
172,yaguajay,22.3272,-79.2378,25.78,93,30,4.72,CU,1731451733
173,howard springs,-12.497,131.047,31.04,71,79,1.38,AU,1731451734
174,brisas de zicatela,15.8369,-97.0419,28.22,74,83,2.05,MX,1731451735
175,kapit,2.0167,112.9333,23.14,99,93,0.46,MY,1731451736
176,alofi,-19.0595,-169.9187,26.94,69,75,7.2,NU,1731451737
177,kapa'a,22.0752,-159.319,28.18,70,40,6.69,US,1731451738
178,ancud,-41.8697,-73.8203,11.72,84,79,2.38,CL,1731451663
179,sovetskaya gavan',48.9723,140.2878,-4.68,61,0,2.67,RU,1731451742
180,rongelap,11.1635,166.8941,28.36,79,56,7.3,MH,1731451743
181,vuktyl,63.8567,57.3094,-12.35,95,98,1.24,RU,1731451744
